id,year,active_year,type_of_violence,conflict_new_id,conflict_name,dyad_new_id,dyad_name,side_a_new_id,gwnoa,side_a,side_b_new_id,gwnob,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,low,best,high
253704,2018,1,1,297,Nigeria: Government,640,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,84,475,Government of Nigeria,1051,,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,1,"""AllAfrica,2018-01-07,Air Force, Army Inflict Heavy Loss On Terrorists""",AllAfrica,1/7/2018,"Air Force, Army Inflict Heavy Loss On Terrorists","Nigerian Air Force spokesman, Air Vice Marshal Olatokunbo Adesanya",2,Sambisa forest,Borno state,Gwoza lga,11.25,13.416667,POINT (13.416667 11.250000),145827,Nigeria,475,Africa,1,1,1/3/2018,1/3/2018,0,3,0,0,3,3,3
277577,2018,1,3,1850,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,2332,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,1051,,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,1,,Civilians,1,"""Crisis Watch,2018-08-31,Cameroon August 2018""",Crisis Watch,8/31/2018,Cameroon August 2018,Crisis Watch,3,Mayo-Sava department,Far North region,Mayo-Sava department,11.10682,14.2056,POINT (14.205600 11.106820),145829,Cameroon,471,Africa,1,1,8/3/2018,8/3/2018,0,0,1,0,1,1,2
262445,2018,1,3,1850,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,2332,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,1051,,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,1,,Civilians,1,"""Crisis Watch,2018-08-31,Cameroon August 2018""",Crisis Watch,8/31/2018,Cameroon August 2018,Crisis Watch,3,Mayo-Sava department,Far North region,Mayo-Sava department,11.10682,14.2056,POINT (14.205600 11.106820),145829,Cameroon,471,Africa,1,1,8/17/2018,8/17/2018,0,0,2,0,2,2,1
262517,2018,1,1,297,Nigeria: Government,640,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,84,475,Government of Nigeria,1051,,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,2,"""Nigeria Watch,2018-08-18,IBD014651"";""The Nation,2018-08-21,Air Force kills insurgents in Sambisa Forest""",Nigeria Watch;The Nation,2018-08-18;2018-08-21,IBD014651;Air Force kills insurgents in Sambisa Forest,The Nigeria Air Force; ,2,Sambisa forest,Borno state,Gwoza lga,11.25,13.416667,POINT (13.416667 11.250000),145827,Nigeria,475,Africa,1,1,8/18/2018,8/18/2018,0,24,0,0,24,24,24
279169,2018,1,2,14650,Lunguda - Waja,15945,Lunguda - Waja,7373,,Lunguda,4274,,Waja,6,"""Vanguard,2018-10-24,Police confirm 1 death in Adamawa communal violence"";""Crisis Watch,2018-10-31,Nigeria  OCTOBER 2018"";""Vox Peccavi,2018-10-29,NORTHERN NIGERIA INTERNAL SECURITY SITREP- Week Ending 27 October 2018"";""Daily Trust,2018-10-24,Many feared dead in Adamawa communal clash"";""Vanguard,2018-11-10,Communal clashes claim 41 lives in Adamawa, Gombe"";""Tawinji News,2018-10-27,At Least 30 Feared Killed In Adamawa State""",Vanguard;Crisis Watch;Vox Peccavi;Daily Trust;Vanguard;Tawinji News,2018-10-24;2018-10-31;2018-10-29;2018-10-24;2018-11-10;2018-10-27,"Police confirm 1 death in Adamawa communal violence;Nigeria  OCTOBER 2018;NORTHERN NIGERIA INTERNAL SECURITY SITREP- Week Ending 27 October 2018;Many feared dead in Adamawa communal clash;Communal clashes claim 41 lives in Adamawa, Gombe;At Least 30 Feared Killed In Adamawa State",residents; police; Crisis Watch; Vox Peccavi,3,Lamurde lga,Adamawa state,Lamurde lga,9.5705,11.71792,POINT (11.717920 9.570500),143664,Nigeria,475,Africa,1,1,10/23/2018,10/23/2018,0,3,0,0,1,3,3
260443,2018,1,3,1850,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,2332,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,1051,,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,1,,Civilians,2,"""International Crisis Group,2018-07-31,Nigeria July 2018"";""Nigeria Watch,2018-07-10,IBD014347""",International Crisis Group;Nigeria Watch,2018-07-31;2018-07-10,Nigeria July 2018;IBD014347,Crisis Watch,1,Luru village,Adamawa state,Girei lga,9.568084,12.304026,POINT (12.304026 9.568084),143665,Nigeria,475,Africa,1,1,7/10/2018,7/10/2018,0,0,5,0,5,5,5
260555,2018,1,1,297,Nigeria: Government,640,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,84,475,Government of Nigeria,1051,,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,1,"""Nigeria Watch,2018-08-04,IBD014534""",Nigeria Watch,8/4/2018,IBD014534,Nigeria Watch,1,Malari village,Borno state,Konduga lga,11.65389,13.42158,POINT (13.421580 11.653890),146547,Nigeria,475,Africa,1,1,8/4/2018,8/4/2018,0,2,0,0,2,2,2
266435,2018,1,3,1850,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,2332,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians,1051,,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,1,,Civilians,1,"""Camer.be,2018-09-26,Ils auraient été abattus par des combattants de Boko Haram.""",Camer.be,9/26/2018,Ils auraient été abattus par des combattants de Boko Haram.,,2,Boundéri village,Far North region,Mayo-Sava department,11.34714,14.40957,POINT (14.409570 11.347140),145829,Cameroon,471,Africa,1,1,9/18/2018,9/18/2018,0,0,6,0,6,6,6
262122,2018,1,1,13641,Nigeria: Islamic State,14669,Government of Nigeria - IS,84,475,Government of Nigeria,234,,IS,1,"""BBC Monitoring Africa,2018-08-13,IS claims attack on soldiers in northeastern Nigeria""",BBC Monitoring Africa,8/13/2018,IS claims attack on soldiers in northeastern Nigeria,Amaq/IS,5,Lake Chad area,Borno state,,12.989201,13.832239,POINT (13.832239 12.989201),147988,Nigeria,475,Africa,1,1,8/12/2018,8/12/2018,0,0,0,0,0,0,7
272219,2018,1,1,13641,Nigeria: Islamic State,14669,Government of Nigeria - IS,84,475,Government of Nigeria,234,,IS,1,"""AllAfrica,2018-11-26,After Metele Attack, Nigerian War Helicopters Strike Boko Haram Targets
CR 	Leadership""",AllAfrica,11/26/2018,"After Metele Attack, Nigerian War Helicopters Strike Boko Haram Targets
CR 	Leadership",,1,Tunbun Rago village,Borno state,Abadam lga,13.4814,13.483791,POINT (13.483791 13.481400),148707,Nigeria,475,Africa,2,4,11/18/2018,11/26/2018,0,3,0,0,2,3,2
